시도명,시군구명,도서관수,열람좌석수,자료수_도서,대출가능권수,대출자수,대출권수,자료구입비_천원,대출자수_대비_도서관수,대출권수_대비_열람좌석수,대출권수_대비_자료수_도서
부산광역시,동래구,2,365,128214,10,45355.0,346266.0,326634.0,22677.5,948.6739726027397,2.700687912396462
부산광역시,부산진구,15,734,196918,75,59754.0,796352.0,1041462.0,3983.6,1084.9482288828337,4.044079261418458
부산광역시,북구,5,660,419232,25,391613.0,3307711.0,2348277.0,78322.6,5011.683333333333,7.889929680940386
부산광역시,사상구,19,1036,276363,65,38000.0,570961.0,1537820.0,2000.0,551.1206563706563,2.0659820598271113
부산광역시,사하구,17,1557,376489,85,87323.0,392468.0,423297.0,5136.64705882353,252.06679511881825,1.0424421430639408
부산광역시,서구,21,490,106188,75,388248.0,3846243.0,2840389.0,18488.0,7849.475510204082,36.221070177421176
부산광역시,수영구,5,872,289469,25,136816.0,592014.0,336006.0,27363.2,678.9151376146789,2.0451723673346716
부산광역시,연제구,8,871,367014,40,29479.0,489803.0,334765.0,3684.875,562.345579793341,1.3345621692905447
부산광역시,영도구,21,820,309979,100,16226.0,183460.0,242860.0,772.6666666666666,223.73170731707316,0.5918465444433333
부산광역시,중구,7,235,97400,24,300853.0,2816489.0,3900401.0,42979.0,11985.059574468085,28.916724845995894
부산광역시,해운대구,6,842,338607,30,180433.0,1178098.0,837039.0,30072.166666666668,1399.166270783848,3.4792488046614514
서울특별시,강남구,27,2280,849694,135,261868.0,2498486.0,1182184.0,9698.814814814816,1095.8271929824562,2.9404538575063492
서울특별시,강동구,6,1386,420447,36,110908.0,1905350.0,894860.0,18484.666666666668,1374.7113997113997,4.531724569327406
서울특별시,강북구,7,1472,467708,35,39048.0,486071.0,299023.0,5578.285714285715,330.21127717391306,1.0392616760884996
서울특별시,강서구,36,3292,771834,140,231570.0,1753637.0,1116765.0,6432.5,532.6965370595383,2.2720390653948908
서울특별시,관악구,39,1401,677350,171,150107.0,450829.0,408929.0,3848.897435897436,321.790863668808,0.6655776186609581
서울특별시,광진구,34,2746,685626,122,113348.0,1283116.0,830014.0,3333.764705882353,467.26729788783683,1.8714517827503625
서울특별시,구로구,14,1162,388751,140,85857.0,906321.0,742082.0,6132.642857142857,779.9664371772806,2.331366350183022
서울특별시,금천구,27,2044,556266,270,66116.0,418259.0,562671.0,2448.740740740741,204.62769080234833,0.7519046643152736
서울특별시,노원구　,35,3728,887410,245,,,,,,
서울특별시,동작구,11,939,338082,55,134644.0,818278.0,650190.0,12240.363636363636,871.4355697550586,2.4203536420158422
서울특별시,마포구,15,1366,588536,73,90601.0,1426144.0,803078.0,6040.066666666667,1044.0292825768668,2.423206057063629
서울특별시,서대문구,15,796,399200,105,29528.0,549837.0,504916.0,1968.5333333333333,690.75,1.3773471943887776
서울특별시,서울특별시 도봉구,31,694,784826,148,,,,,,
서울특별시,서초구,9,1752,487092,45,154385.0,1409257.0,932388.0,17153.88888888889,804.3704337899543,2.8932049797574173
서울특별시,성동구,24,1946,688694,100,57350.0,892365.0,436252.0,2389.5833333333335,458.5637204522097,1.2957351160312127
서울특별시,성북구,17,2239,694300,85,98343.0,805480.0,543130.0,5784.882352941177,359.7498883430103,1.1601325075615727
서울특별시,송파구,12,2423,749376,60,165165.0,1850539.0,735296.0,13763.75,763.7387536112258,2.469439907336237
서울특별시,양천구,23,1606,550547,115,234833.0,1614639.0,1587155.0,10210.130434782608,1005.379202988792,2.9327904792869637
서울특별시,영등포구,26,1546,489092,260,59369.0,972872.0,555978.0,2283.423076923077,629.2833117723156,1.9891390576823993
서울특별시,용산구,16,625,257793,76,34156.0,621848.0,644211.0,2134.75,994.9568,2.412198934804281
서울특별시,은평구,77,5231,1034014,183,161522.0,1057777.0,472799.0,2097.688311688312,202.21315236092525,1.0229813135992356
서울특별시,종로구,15,638,240632,150,182776.0,925983.0,952471.0,12185.066666666668,1451.384012539185,3.848129093387413
서울특별시,중구,19,1040,436789,190,300853.0,2816489.0,3900401.0,15834.368421052632,2708.1625,6.4481683375726035
서울특별시,중랑구,6,2063,461841,519640,109893.0,773432.0,368155.0,18315.5,374.9064469219583,1.6746715861086392
세종특별자치시,없음,24,3698,924531,120,,,,,,
울산광역시,남구,55,4461,1341554,215,140362.0,2839081.0,3308511.0,2552.0363636363636,636.4225509975341,2.116262930899539
울산광역시,동구,27,2026,724983,101,194383.0,2720746.0,2319793.0,7199.37037037037,1342.9151036525172,3.752841101101681
울산광역시,북구,9,1588,455247,270,391613.0,3307711.0,2348277.0,43512.555555555555,2082.941435768262,7.26575024107792
울산광역시,울주군,14,1529,640776,70,118500.0,485649.0,433695.0,8464.285714285714,317.6252452583388,0.7579075995355631
울산광역시,중구,45,1677,278763,132,300853.0,2816489.0,3900401.0,6685.622222222222,1679.4806201550387,10.103525216761192
인천광역시,강화군,5,828,216647,92789,5026.0,75719.0,99421.0,1005.2,91.44806763285024,0.3495040319044344
인천광역시,계양구,14,3184,840516,105,33856.0,501279.0,364848.0,2418.285714285714,157.43687185929647,0.5963943577516668
인천광역시,깅화군,1,193,18117,18114,,,,,,
인천광역시,남동구,13,3391,1829144,75,62584.0,1009263.0,1005872.0,4814.153846153846,297.6299026835742,0.5517679307916709
인천광역시,동구,8,2474,596981,45,194383.0,2720746.0,2319793.0,24297.875,1099.735650767987,4.557508530422242
인천광역시,미추홀구,21,3340,1108258,115,22500.0,294533.0,338816.0,1071.4285714285713,88.18353293413173,0.26576212398196086
인천광역시,부평구,58,6792,2226234,210,91102.0,959735.0,1042514.0,1570.7241379310344,141.30373969375736,0.43110248069160745
인천광역시,서구,112,8579,2182591,187,388248.0,3846243.0,2840389.0,3466.5,448.3323231145821,1.762237175906984
인천광역시,연수구,27,4663,1480322,145,286153.0,1247409.0,884565.0,10598.25925925926,267.51211666309246,0.8426605833055241
인천광역시,옹진군,9,461,180697,25,265.0,1160.0,3000.0,29.444444444444443,2.5162689804772236,0.006419586379408623
인천광역시,중구,33,1747,415563,52,300853.0,2816489.0,3900401.0,9116.757575757576,1612.1860331997711,6.777525910632082
전라남도,강진군,1,201,142553,5,1823.0,48576.0,52700.0,1823.0,241.67164179104478,0.3407574726592916
전라남도,고흥군,1,960,98600,10,8186.0,68267.0,222372.0,8186.0,71.11145833333333,0.6923630831643002
전라남도,곡성군,3,616,131681,20,3173.0,37956.0,108400.0,1057.6666666666667,61.616883116883116,0.2882420394741838
전라남도,광양시,8,2794,587811,80,22970.0,472845.0,609099.0,2871.25,169.23586256263422,0.8044167257843082
전라남도,구례군,2,545,99321,20,2310.0,61602.0,103800.0,1155.0,113.03119266055046,0.6202313710091522
전라남도,나주시,4,2123,558058,27,58714.0,386898.0,722134.0,14678.5,182.24116815826662,0.6932935286296407
전라남도,담양군,12,1345,241224,119484,2420.0,102793.0,135200.0,201.66666666666666,76.42602230483271,0.42613089908135177
전라남도,목포시,24,3389,827828,135,47047.0,316728.0,353293.0,1960.2916666666667,93.45765712599587,0.3826012166778606
전라남도,무안군,33,1860,630653,107,91665.0,397773.0,783730.0,2777.7272727272725,213.85645161290321,0.6307319556079175
전라남도,보성군,3,880,190048,35,10234.0,76076.0,202647.0,3411.3333333333335,86.45,0.40029887186395013
전라남도,순천시,7,6114,699531,130,45566.0,685522.0,644503.0,6509.428571428572,112.12332351979065,0.9799737252530624
전라남도,신안군,4,0,68070,20,898.0,3003.0,14114.0,224.5,,0.04411635081533715
전라남도,여수시,8,4831,870905,45,70185.0,716048.0,689471.0,8773.125,148.2194162699234,0.8221884132023585
전라남도,영광군,2,713,194458,25,2585.0,89242.0,166314.0,1292.5,125.164095371669,0.4589268633843812
전라남도,영암군,4,1525,362738,1008,23725.0,86983.0,210380.0,5931.25,57.038032786885246,0.23979566519085402
전라남도,완도군,3,476,224139,253616,12181.0,33047.0,97500.0,4060.3333333333335,69.42647058823529,0.14743975836422935
전라남도,장성군,4,1415,356002,40,166820.0,155585.0,309360.0,41705.0,109.95406360424029,0.43703406160639546
전라남도,장흥군,2,712,180942,17,7323.0,53425.0,109142.0,3661.5,75.03511235955057,0.29526035967326547
전라남도,진도군,2,591,153352,13,3186.0,31707.0,112133.0,1593.0,53.6497461928934,0.20675961187333716
전라남도,함평군,10,495,127651,36,2369.0,23970.0,74200.0,236.9,48.42424242424242,0.18777761239629928
전라남도,해남군,2,940,191991,15,3445.0,77224.0,137693.0,1722.5,82.1531914893617,0.4022271877327583
